# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.046           	smoothSolver	1.92501920e-02	9.46910490e-04	2	1.98890840e-02	9.86559380e-04	2	false	GAMG	4.71239600e-02	3.70442610e-03	1	true
0.0465          	smoothSolver	1.91654230e-02	9.40763720e-04	2	1.98789660e-02	9.89494810e-04	2	false	GAMG	5.26979420e-02	4.31997290e-03	1	true
0.047           	smoothSolver	1.91326010e-02	9.72619660e-04	2	1.99144740e-02	1.01822680e-03	2	false	GAMG	5.83266210e-02	4.63559590e-03	1	true
0.0475          	smoothSolver	1.90988440e-02	9.50521160e-04	2	1.98636510e-02	1.00868400e-03	2	false	GAMG	4.70113620e-02	3.61942480e-03	1	true
0.048           	smoothSolver	1.90599300e-02	9.66646230e-04	2	1.99284400e-02	1.01732450e-03	2	false	GAMG	4.70368050e-02	3.62889020e-03	1	true
0.0485          	smoothSolver	1.90050320e-02	9.63673370e-04	2	1.99072970e-02	1.01916050e-03	2	false	GAMG	4.00988250e-02	3.07768820e-03	1	true
0.049           	smoothSolver	1.90024120e-02	9.70940090e-04	2	2.00260470e-02	1.01905220e-03	2	false	GAMG	4.53864470e-02	3.65909680e-03	1	true
0.0495          	smoothSolver	1.89211330e-02	9.41968450e-04	2	1.99712320e-02	1.02099520e-03	2	false	GAMG	4.05614460e-02	2.63262210e-03	1	true
0.05            	smoothSolver	1.87455170e-02	9.48818000e-04	2	1.99199680e-02	1.01179530e-03	2	false	GAMG	4.80463540e-02	4.13522700e-03	1	true
0.0505          	smoothSolver	1.85512970e-02	9.51476060e-04	2	1.99402830e-02	1.03373340e-03	2	false	GAMG	4.90663240e-02	3.95181500e-03	1	true
0.051           	smoothSolver	1.84516480e-02	9.39019670e-04	2	1.99167950e-02	1.02611100e-03	2	false	GAMG	6.43205260e-02	5.22676980e-03	1	true
0.0515          	smoothSolver	1.82632380e-02	9.35009050e-04	2	1.99173700e-02	1.03335020e-03	2	false	GAMG	8.96967500e-02	7.43471820e-03	1	true
0.052           	smoothSolver	1.81440120e-02	9.32481510e-04	2	1.99585990e-02	1.03438240e-03	2	false	GAMG	1.74331780e-01	1.43116510e-02	1	true
0.0525          	smoothSolver	1.80162810e-02	9.32876680e-04	2	1.99977270e-02	1.04640540e-03	2	false	GAMG	1.57352780e-01	1.15385040e-02	1	true
0.053           	smoothSolver	1.79594650e-02	9.31538010e-04	2	2.00440080e-02	1.05365900e-03	2	false	GAMG	1.25018140e-01	8.84028030e-03	1	true
0.0535          	smoothSolver	1.78412140e-02	9.18865570e-04	2	2.01992700e-02	1.06162220e-03	2	false	GAMG	9.71137630e-02	7.72938050e-03	1	true
0.054           	smoothSolver	1.78174320e-02	9.16557040e-04	2	2.02665050e-02	1.07070850e-03	2	false	GAMG	2.75918770e-02	2.14097350e-03	1	true
